Timestamp,1.,2.,3.,4.,5.,6.,7.,8.,9.,10.
11/23/2019 6:39:03,Turilli/Lione Rhapsody - Zero Gravity (Rebirth and Evolution),Delain - Hunter's Moon,Mike Orlando - Sonic Stomp,Orpheus Omega - Wear Your Sins,Lacrimas Profundere - Bleeding the Stars,Battle Beast - No More Hollywood Endings,Equilibrium - Renegades,Suldusk - Lunar Falls,Avantasia - Moonglow,Sabaton - The Great War
11/23/2019 6:43:19,Devin Townsend - Empath,Wilderun - Veil of Imagination,Edge of Reality - In Static,Astronoid - Astronoid,Red Cain - Kindred: Act 1,"E.A.R. - A æ u å æ ø i æ å, æ i å u å æ ø i æ å?",Aephanemer - Prokopton,Ancient Bards - Origine,Cellar Darling - The Spell,Darkwater - Human
11/23/2019 6:44:02,Soen - Lotus,Leprous - Pitfalls,Voyager - Colours in the Sun,Allegaeon - Apoptosis,Insomnium - Heart Like a Grave,Belzebubs - Pantheon of the Nightside Gods,Alcest - Spiritual Instinct,Swallow the Sun - When a Shadow is Forced Into the Light,Shadow of Intent - Melancholy,Myrath - Shehili
11/23/2019 6:44:31,Wilderun - Veil of Imagination,Thank You Scientist - Terraformer ,Louise Burns - Portraits,Soen - Lotus,Maggie Rogers - Heard It In A Past Life,Opeth - In Cauda Venenum,Leprous - Pitfalls,Copeland - Blushing,Yellow Eyes - Rare Field Ceiling,Waste of Space Orchestra – Syntheosis
11/23/2019 6:46:50,Insomnium - Heart Like a Grave,Saor - Forgotten Paths,Obsequiae - The Palms of Sorrowed Kings,Tomb Mold - Planetary Clairvoyance,Fit For an Autopsy - The Sea of Tragic Beasts,Polyphia - New Levels New Devils,Blood Incantation - Hidden History of the Human Race ,Eluveitie - Ategnatos,Alcest - Spiritual Instinct,Pup - Morbid Stuff
11/23/2019 6:54:52,Heilung - futha ,Devin Townsend - empath,Opeth - In Cauda Venenum,Tool - fear inoculum,Skald - vikings chants,Eluveitie - ategnatos,Amon amarth - berserker ,Rammstein - Rammstein,Lacuna coil - black anima,Sabaton - the great war
11/23/2019 7:00:46,Insomnium - Heart Like a Grave,Eluveitie - Ategnatos,Beast in Black - From Hell with Love,Jinjer - Macro,Avantasia - Moonglow,Swallow the Sun - When a Shadow is Forced into the Light,Devin Townsend - Empath,After the Burial - Evergreen ,Myrath - Shehili,Blind Guardian - Legacy of the Dark Lands
11/23/2019 7:41:52,Opeth - In Cauda Venenum,Periphery - Periphery IV: Hail Stan,Thank You Scientist - Terraformer,Dream Theater - Distance Over Time,Leprous - Pitfalls,Allegaeon - Apoptosis,Devin Townsend - Empath,Nick Johnston - Wide Eyes In The Dark,Tool - Fear Inoculum,Jinjer - Macro
11/23/2019 9:23:02,Opeth - In Cauda Venenum,Tool - Fear Inoculum,Alcest - Spiritual Instinct, Mgła - Age of Excuse,Slow - VI - Dantalion,Insomnium - Heart Like a Grave,Esoteric - A Pyrrhic Existence,Wormwitch - Heaven That Dwells Within,Tomb Mold - Planetary Clairvoyance,Mortiferum - Disgorged from Psychotic Depths
11/23/2019 9:26:18,Cattle Decapitation - Death Atlas,Djevel - Ormer Til Armer Maane Til Hode,Saor - Forgotten Paths,Garsdghastr - Slit Throat Requiem,Numenorean - Adore,Blood Incantation - Hidden History of the Human Race,Sinmara - Hvisl Stjarnanna,Misþyrming - Algleymi,Obsequiae - The Palms Of Palingenesia,Opeth - In Cauda Venenum
